titulo,empresa,ubicacion,link
Practicante universitario en ciencia de datos o data science (Vacante de Inclusión Cafam),No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-practicante-universitario-en-ciencia-de-datos-o-data-science-vacante-de-inclusion-cafam-vacante-de-inclusion-cafam-en-bogota-dc-DBA99099CCC3621461373E686DCF3405#lc=ListOffers-Score4-0
Docente de Especialización en Ciencia de Datos,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-de-especializacion-en-ciencia-de-datos-en-bogota-dc-DD7FE604F3CA1A4E61373E686DCF3405#lc=ListOffers-Score4-1
Senior Net Developer OTD,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-senior-net-developer-otd-respuesta-inmediata-grandes-beneficios-en-bogota-dc-78DB7BBDD01B673061373E686DCF3405#lc=ListOffers-Score3-2
"Back Oficce Técnico,Tecnólogo o estudiante con conocimiento en herramientas de bases de datos",No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-back-oficce-tecnicotecnologo-o-estudiante-con-conocimiento-en-herramientas-de-bases-de-datos-visualizacion-esta-vacante-es-para-titoberin-en-bogota-dc-E2DF12338594F3F461373E686DCF3405#lc=ListOffers-Score3-3
Especialista de KPIs Management and Reporting English C1,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-kpis-management-and-reporting-english-c1-en-medellin-89FDA0DBAB67F59061373E686DCF3405#lc=ListOffers-Score3-4
Docente bachillerato,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-bachillerato-en-rionegro-A28CD84CDCE0E0D961373E686DCF3405#lc=ListOffers-Score3-5
Profesional II Back 1225387 De Domingo a Domingo,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesional-ii-back-1225387-de-domingo-a-domingo-bogota-en-bogota-dc-660ADACDF30299DB61373E686DCF3405#lc=ListOffers-Score3-6
Ejecutivo/a comercial con experiencia en call center,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivoa-comercial-con-experiencia-en-call-center-en-bogota-dc-E29CE93812F2E01061373E686DCF3405#lc=ListOffers-Score3-7
Gestion de Datos y/oGobernanza de datos,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-gestion-de-datos-yogobernanza-de-datos-experiencia-sap-en-bogota-dc-3B36E348F653980061373E686DCF3405#lc=ListOffers-Score3-8
Analista Auditoria Postobon Bello,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-auditoria-postobon-bello-en-medellin-7B71FF3AE1D0AEEB61373E686DCF3405#lc=ListOffers-Score3-9
Ingeniero de sistemas Datos y/oGobernanza de datos,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-datos-yogobernanza-de-datos-experiencia-sap-en-bogota-dc-1EDD178CAC7499FE61373E686DCF3405#lc=ListOffers-Score3-10
Ejecutivo/a Comercial Tuluá,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivoa-comercial-tulua-en-tulua-14400BCFD10272D761373E686DCF3405#lc=ListOffers-Score3-11
Analista de Seguridad Fisica,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-seguridad-fisica-seguridad-patrimonial-en-nicaragua-A798A4228040CF5861373E686DCF3405#lc=ListOffers-Score3-12
Especialista de medios,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-medios-marketing-medios-en-bogota-dc-C9767F23B3F72CC261373E686DCF3405#lc=ListOffers-Score3-13
Líder de Business Intelligence y Datos,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-business-intelligence-y-datos-en-bogota-dc-F602497E1BCCE24761373E686DCF3405#lc=ListOffers-Score3-14
Analista Datos Senior,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-analista-datos-senior-cali-en-cali-458BE410DE1924BC61373E686DCF3405#lc=ListOffers-Score3-15
Profesionales Expertos con experiencia en elaboración de pruebas de ascenso y meritos,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-profesionales-expertos-con-experiencia-en-elaboracion-de-pruebas-de-ascenso-y-meritos-en-bogota-dc-0D0B9DA7A8044BBD61373E686DCF3405#lc=ListOffers-Score3-16
Compensation Analyst,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-compensation-analyst-en-bogota-dc-EC0A8E9594D7FAA861373E686DCF3405#lc=ListOffers-Score3-17
Se busca personal área Reporting. 6to Semestre en Ingeniería de sistemas,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-se-busca-personal-area-reporting-6to-semestre-en-ingenieria-de-sistemas-economia-o-a-fines-no-dejes-pasar-la-oportunidad-en-bogota-dc-EC25DDEC351A9CD561373E686DCF3405#lc=ListOffers-Score3-18
Coordinador/a Optimización Y Planeación,No especificado,No especificado,https://co.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-coordinadora-optimizacion-y-planeacion-en-medellin-88FBCCE42E36EDA761373E686DCF3405#lc=ListOffers-Score3-19
